
=== NEW SESSION STARTED AT 2026-06-19 16:05:43.421815 ===
[WORLD] Dynamic Chunk System Initialized. Pool size: 144
[SLOW DRAW] Total: 13.97ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 13.69ms
[SLOW DRAW] Total: 4.95ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 3.41ms
[SLOW DRAW] Total: 15.31ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 15.06ms
[SLOW DRAW] Total: 31.75ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 30.56ms
[SLOW DRAW] Total: 4.52ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 4.25ms
[SLOW DRAW] Total: 8.62ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 7.25ms
[SLOW DRAW] Total: 6.24ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 5.69ms
[SLOW DRAW] Total: 32.89ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 15.86ms
[SLOW DRAW] Total: 5.00ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 4.77ms
[SLOW DRAW] Total: 4.16ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 3.93ms
[SLOW DRAW] Total: 154.33ms | Cull: 0.07ms | Opaque: 0.00ms | Trans: 121.62ms
[SLOW DRAW] Total: 7.05ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 5.97ms
[SLOW DRAW] Total: 6.42ms | Cull: 0.03ms | Opaque: 0.00ms | Trans: 5.98ms
[SLOW DRAW] Total: 162.37ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 151.09ms
[SLOW DRAW] Total: 5.15ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 1.60ms
[SLOW DRAW] Total: 5.21ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 4.97ms
[SLOW DRAW] Total: 16.97ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 7.71ms
[SLOW DRAW] Total: 7.78ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 6.61ms
[SLOW DRAW] Total: 6.26ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 5.97ms
[SLOW DRAW] Total: 6.27ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 2.53ms
[SLOW DRAW] Total: 131.98ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 108.98ms
[SLOW DRAW] Total: 62.40ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 46.44ms
[SLOW DRAW] Total: 12.07ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 11.68ms
[SLOW DRAW] Total: 129.16ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 121.13ms
[SLOW DRAW] Total: 54.53ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 48.44ms
[SLOW DRAW] Total: 185.43ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 172.07ms
[SLOW DRAW] Total: 14.62ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 1.89ms
    [_apply_chunk_mesh] (2, 2) took 5.64ms
[SLOW UPDATE] Total: 6.06ms | Load: 0.00ms | Queues: 5.96ms | Player: 0.05ms
  [_process_chunk_queues] took 5.84ms | Unload: 0.00ms | DoneGen: 0.03ms | SubmitGen: 0.09ms | ApplyMesh: 5.70ms | SubmitMesh: 0.02ms
[SLOW DRAW] Total: 9.86ms | Cull: 0.05ms | Opaque: 0.09ms | Trans: 9.24ms
    [_apply_chunk_mesh] (1, 2) took 4.38ms
  [_process_chunk_queues] took 4.56ms | Unload: 0.00ms | DoneGen: 0.04ms | SubmitGen: 0.06ms | ApplyMesh: 4.44ms | SubmitMesh: 0.02ms
[SLOW UPDATE] Total: 4.83ms | Load: 0.02ms | Queues: 4.70ms | Player: 0.07ms
    [_apply_chunk_mesh] (2, 2) took 3.53ms
  [_process_chunk_queues] took 3.68ms | Unload: 0.00ms | DoneGen: 0.03ms | SubmitGen: 0.06ms | ApplyMesh: 3.58ms | SubmitMesh: 0.01ms
[SLOW UPDATE] Total: 3.85ms | Load: 0.00ms | Queues: 3.77ms | Player: 0.05ms
    [_apply_chunk_mesh] (2, 1) took 5.12ms
  [_process_chunk_queues] took 5.40ms | Unload: 0.00ms | DoneGen: 0.10ms | SubmitGen: 0.10ms | ApplyMesh: 5.16ms | SubmitMesh: 0.03ms
[SLOW UPDATE] Total: 5.67ms | Load: 0.00ms | Queues: 5.54ms | Player: 0.08ms
[SLOW DRAW] Total: 4.14ms | Cull: 0.05ms | Opaque: 0.12ms | Trans: 3.67ms
[SLOW DRAW] Total: 5.83ms | Cull: 0.05ms | Opaque: 0.11ms | Trans: 5.33ms
    [_apply_chunk_mesh] (1, 1) took 4.05ms
ad: 0.00ms | DoneGen: 0.03ms | SubmitGen: 0.07ms | ApplyMesh: 4.10ms | SubmitMesh: 0.01ms
[SLOW UPDATE] Total: 4.41ms | Load: 0.00ms | Queues: 4.33ms | Player: 0.04ms
    [_apply_chunk_mesh] (2, 3) took 3.71ms
  [_process_chunk_queues] took 3.88ms | Unload: 0.00ms | DoneGen: 0.03ms | SubmitGen: 0.08ms | ApplyMesh: 3.75ms | SubmitMesh: 0.01ms
[SLOW UPDATE] Total: 4.12ms | Load: 0.00ms | Queues: 4.00ms | Player: 0.08ms
[SLOW DRAW] Total: 6.47ms | Cull: 0.05ms | Opaque: 0.16ms | Trans: 2.17ms
    [_apply_chunk_mesh] (3, 2) took 4.90ms
  [_process_chunk_queues] took 5.06ms | Unload: 0.00ms | DoneGen: 0.03ms | SubmitGen: 0.07ms | ApplyMesh: 4.95ms | SubmitMesh: 0.01ms
[SLOW UPDATE] Total: 5.28ms | Load: 0.00ms | Queues: 5.18ms | Player: 0.06ms
[SLOW DRAW] Total: 6.58ms | Cull: 0.05ms | Opaque: 0.21ms | Trans: 2.25ms
    [_apply_chunk_mesh] (1, 3) took 4.25ms
  [_process_chunk_queues] took 4.39ms | Unload: 0.00ms | DoneGen: 0.03ms | SubmitGen: 0.06ms | ApplyMesh: 4.29ms | SubmitMesh: 0.01ms
[SLOW UPDATE] Total: 4.56ms | Load: 0.00ms | Queues: 4.48ms | Player: 0.05ms
    [_apply_chunk_mesh] (3, 3) took 4.68ms
  [_process_chunk_queues] took 4.88ms | Unload: 0.00ms | DoneGen: 0.03ms | SubmitGen: 0.10ms | ApplyMesh: 4.72ms | SubmitMesh: 0.02ms
[SLOW UPDATE] Total: 5.06ms | Load: 0.00ms | Queues: 4.97ms | Player: 0.05ms
    [_apply_chunk_mesh] (0, 2) took 5.80ms
  [_process_chunk_queues] took 6.01ms | Unload: 0.00ms | DoneGen: 0.03ms | SubmitGen: 0.08ms | ApplyMesh: 5.86ms | SubmitMesh: 0.04ms
[SLOW UPDATE] Total: 6.30ms | Load: 0.00ms | Queues: 6.18ms | Player: 0.08ms
[SLOW DRAW] Total: 6.42ms | Cull: 0.05ms | Opaque: 0.40ms | Trans: 5.59ms
    [_apply_chunk_mesh] (2, 0) took 6.21ms
  [_process_chunk_queues] took 6.60ms | Unload: 0.00ms | DoneGen: 0.19ms | SubmitGen: 0.08ms | ApplyMesh: 6.32ms | SubmitMesh: 0.01ms
[SLOW UPDATE] Total: 6.90ms | Load: 0.00ms | Queues: 6.80ms | Player: 0.05ms
[SLOW DRAW] Total: 6.15ms | Cull: 0.04ms | Opaque: 0.33ms | Trans: 2.32ms
    [_apply_chunk_mesh] (2, 4) took 4.81ms
  [_process_chunk_queues] took 5.00ms | Unload: 0.00ms | DoneGen: 0.04ms | SubmitGen: 0.07ms | ApplyMesh: 4.86ms | SubmitMesh: 0.03ms
[SLOW UPDATE] Total: 5.23ms | Load: 0.00ms | Queues: 5.13ms | Player: 0.06ms
    [_apply_chunk_mesh] (4, 2) took 3.99ms
  [_process_chunk_queues] took 4.46ms | Unload: 0.00ms | DoneGen: 0.31ms | SubmitGen: 0.08ms | ApplyMesh: 4.05ms | SubmitMesh: 0.03ms
[SLOW UPDATE] Total: 4.74ms | Load: 0.00ms | Queues: 4.61ms | Player: 0.08ms
    [_apply_chunk_mesh] (1, 1) took 3.78ms
  [_process_chunk_queues] took 3.98ms | Unload: 0.00ms | DoneGen: 0.03ms | SubmitGen: 0.07ms | ApplyMesh: 3.86ms | SubmitMesh: 0.02ms
[SLOW UPDATE] Total: 4.24ms | Load: 0.00ms | Queues: 4.11ms | Player: 0.08ms
    [_apply_chunk_mesh] (0, 1) took 5.60ms
  [_process_chunk_queues] took 5.80ms | Unload: 0.00ms | DoneGen: 0.03ms | SubmitGen: 0.10ms | ApplyMesh: 5.65ms | SubmitMesh: 0.02ms
[SLOW UPDATE] Total: 6.08ms | Load: 0.00ms | Queues: 5.96ms | Player: 0.08ms
    [_apply_chunk_mesh] (0, 3) took 4.95ms
  [_process_chunk_queues] took 5.13ms | Unload: 0.00ms | DoneGen: 0.04ms | SubmitGen: 0.07ms | ApplyMesh: 5.00ms | SubmitMesh: 0.03ms
[SLOW UPDATE] Total: 5.39ms | Load: 0.00ms | Queues: 5.26ms | Player: 0.08ms
    [_apply_chunk_mesh] (1, 0) took 4.55ms
  [_process_chunk_queues] took 5.02ms | Unload: 0.00ms | DoneGen: 0.31ms | SubmitGen: 0.08ms | ApplyMesh: 4.61ms | SubmitMesh: 0.02ms
[SLOW UPDATE] Total: 5.28ms | Load: 0.00ms | Queues: 5.15ms | Player: 0.08ms
